,Group,DEFAULT,Horizon,Source,LOAN SEQUENCE NUMBER,Calendar Time,CURRENT LOAN DELINQUENCY STATUS,LOAN AGE,CURRENT INTEREST RATE,ESTIMATED LOAN TO VALUE (ELTV),CREDIT SCORE,FIRST TIME HOMEBUYER FLAG,NUMBER OF UNITS,OCCUPANCY STATUS,ORIGINAL COMBINED LOAN-TO-VALUE (CLTV),ORIGINAL DEBT-TO-INCOME (DTI) RATIO,ORIGINAL LOAN-TO-VALUE (LTV),CHANNEL,AMORTIZATION TYPE,PROPERTY STATE,PROPERTY TYPE,LOAN PURPOSE,ORIGINAL LOAN TERM,NUMBER OF BORROWERS,OrigYear,OrigQuarter,OrigDate,HPI,UNRATE,inflation,% Change in UPB,Calendar Time,HPI
0,0.0,0,0,orig,F02Q10000361,2002-03,0,0.0,6.875,-1.0,773,N,1,P,80,22,80,T,FRM,OR,SF,P,360.0,2,2002,Q1,2002Q1,157.51,5.7,1.5,0.0,,
57740,2724.0,0,6,Duplicated,F02Q10074614,2014-03,0,145.0,7.375,0.6175,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,202.66,6.7,1.5,-20.04,,
57739,2724.0,0,5,Duplicated,F02Q10074614,2014-04,0,146.0,7.375,0.6142,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,203.33,6.2,2.0,-20.21,,
57738,2724.0,0,4,Duplicated,F02Q10074614,2014-05,0,147.0,7.375,0.6114,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,203.74,6.3,2.1,-20.41,,
57737,2724.0,0,3,Duplicated,F02Q10074614,2014-06,0,148.0,7.375,0.6068,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,204.76,6.1,2.1,-20.61,,
57736,2724.0,0,2,Duplicated,F02Q10074614,2014-07,1,149.0,7.375,0.6043,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,205.6,6.2,2.0,-20.61,,
57735,2724.0,0,1,Duplicated,F02Q10074614,2014-08,2,150.0,7.375,0.6021,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,206.37,6.1,1.7,-20.61,,
57734,2724.0,0,0,orig,F02Q10074614,2014-09,2,151.0,7.375,0.5999,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,206.58,5.9,1.7,-20.82,,
57733,2723.0,0,24,Duplicated,F02Q10074614,2012-08,1,126.0,7.375,0.7133,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,184.43,8.1,1.7,-15.950000000000001,,
57732,2723.0,0,23,Duplicated,F02Q10074614,2012-09,1,127.0,7.375,0.7108,579,Y,1,P,95,45,95,T,FRM,PA,SF,P,360.0,2,2002,Q1,2002Q1,185.09,7.8,2.0,-15.950000000000001,,
